target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,0,462,0,2.426,1.4934,2.1391,1.3098,767,1165,1155,752,340,349,738,724,0.6877,0.9,0.9,0.9
4,1,390,1.2806,1.264,0.5713,2.69,1.8353,753,1153,1155,774,334,332,749,743,0.9,0.9,0.6877,0.6877
1,1,355,0.4827,2.9096,0.9378,1.0621,2.7001,714,1116,1198,804,391,310,688,769,0.6877,0.9,0.6877,0.6877
3,0,545,2.4199,1.734,0.6701,1.8467,0.4485,878,688,1044,1223,812,451,272,628,0.9,0.6877,0.6877,0.6877
0,0,328,0,0.9368,0.4976,1.135,2.3299,1228,1031,678,892,471,817,613,269,0.9,0.9,0.6877,0.9
1,1,471,1.4528,2.9681,2.2446,2.1338,3.014,1245,920,679,1005,594,810,489,253,0.6877,0.6877,0.9,0.9
4,1,352,2.1094,2.9427,2.7024,1.2479,1.5061,1083,1216,842,692,270,644,799,421,0.6877,0.6877,0.6877,0.9
0,0,511,0,0.1566,2.1529,1.9487,2.3458,1003,683,920,1244,815,569,266,493,0.9,0.6877,0.6877,0.6877
2,1,383,0.5525,1.4815,1.7059,0.1875,2.0673,1131,735,785,1190,769,715,323,362,0.6877,0.9,0.6877,0.9
1,0,380,0.8236,0.0667,2.6518,0.905,0.7865,948,1252,971,677,269,511,832,559,0.6877,0.6877,0.9,0.9
0,1,481,0,0.67,1.203,0.0932,1.4838,708,1104,1213,808,390,299,678,793,0.9,0.6877,0.9,0.6877
1,0,667,2.0798,1.7446,0.4008,0.5316,0.0031,824,1198,1087,715,302,391,777,669,0.6877,0.9,0.6877,0.9
3,1,1289,2.6966,1.8573,3.0929,2.661,3.0684,727,1123,1189,805,373,298,709,767,0.6877,0.9,0.9,0.6877
0,0,1251,0,2.2735,1.3584,0.8214,0.595,678,899,1229,1032,594,267,486,824,0.6877,0.9,0.9,0.6877
2,0,2661,0.688,1.0133,1.7625,0.7724,0.4225,673,931,1254,973,573,258,523,815,0.6877,0.6877,0.9,0.6877
